,count,mean,std,min,25%,50%,75%,max,best_k_count,best_k_pct
-40,1000.0,11.5479,1.4839,7.6706,10.4786,11.4948,12.5653,17.1397,0,0.0
-30,1000.0,17.5204,1.9354,11.9786,16.112,17.4358,18.8862,26.674,0,0.0
-20,1000.0,29.4747,2.643,19.498,27.6561,29.407,31.1463,41.2468,0,0.0
-10,1000.0,53.2142,3.6344,41.9595,50.8663,53.085,55.4487,66.7278,0,0.0
-5,1000.0,366.2293,8.7304,340.6133,359.8493,366.2744,372.2892,397.8127,0,0.0
-2,1000.0,109.2713,5.7708,91.8638,105.413,109.1625,112.7577,138.4921,0,0.0
-1,1000.0,366.9582,8.7863,340.3751,360.7064,367.0547,372.9332,396.8458,0,0.0
1,1000.0,77.3872,3.9888,66.7175,74.681,77.2288,79.9011,95.0714,0,0.0
2,1000.0,365.839,8.7108,340.5775,359.7766,365.7721,371.7769,398.6939,0,0.0
5,1000.0,36.9424,2.6046,26.5245,35.2303,36.8508,38.6787,44.9289,0,0.0
10,1000.0,8.6319,1.458,4.5488,7.5482,8.5852,9.5996,13.9924,0,0.0
20,1000.0,3.6482,0.6795,1.5558,3.1622,3.6337,4.1183,5.8282,119,11.9
30,1000.0,3.2621,0.6464,1.1588,2.8145,3.2478,3.6703,5.6195,318,31.8
40,1000.0,3.1352,0.6067,1.073,2.7238,3.127,3.5335,5.0763,563,56.3
