,count,mean,std,min,25%,50%,75%,max,best_k_count,best_k_pct
-40,1000.0,1.9475,1.2385,0.0,1.0654,1.7508,2.5994,9.1353,37,3.7
-30,1000.0,3.1868,1.6192,0.0,1.937,3.0058,4.3054,9.142,4,0.4
-20,1000.0,6.0169,2.4724,-0.0,4.2554,5.7724,7.3964,15.5147,2,0.2
-10,1000.0,12.8146,3.8784,2.859,10.1493,12.5883,15.042,28.1838,0,0.0
-5,1000.0,177.4665,18.8132,116.9793,164.5829,178.2903,190.7435,238.6645,0,0.0
-2,1000.0,32.9583,6.465,13.5231,28.3382,32.7847,37.5074,55.2385,0,0.0
-1,1000.0,210.1422,15.6525,158.2559,199.8872,210.1294,220.85,260.5173,0,0.0
1,1000.0,25.3783,5.5498,8.8482,21.5434,24.9536,29.1394,44.5923,0,0.0
2,1000.0,187.4282,13.5558,139.07,177.3307,187.2106,197.2359,231.549,0,0.0
5,1000.0,9.7597,3.073,0.1567,7.6436,9.5596,11.6488,22.8441,0,0.0
10,1000.0,0.9772,0.7267,-0.0,0.4126,0.8492,1.4238,3.9904,156,15.6
20,1000.0,0.721,0.5863,-0.0,0.2754,0.6195,1.0446,3.9005,460,46.0
30,1000.0,0.6627,0.5862,-0.0,0.2217,0.5634,0.9254,4.1948,196,19.6
40,1000.0,0.6347,0.5728,-0.0,0.1967,0.5312,0.8937,3.8469,145,14.5
