instance,-40,-30,-20,-10,-5,-2,-1,1,2,5,10,20,30,40,best_k
0,0.4628,3.4014,2.8317,6.5153,185.8145,26.1063,194.6373,27.4392,182.6535,9.0738,0.9916,0.7525,0.5956,0.5956,-40
1,3.5288,4.482,8.7731,13.2992,194.4659,42.107,211.791,33.0941,176.1905,12.2415,0.4692,0.3222,0.3222,0.0886,40
2,1.0363,2.2224,3.5697,12.3071,188.6048,35.9733,218.1092,28.1238,208.1037,12.1109,0.2341,0.834,1.0229,0.7063,10
3,2.3651,4.4652,4.713,13.1525,188.0189,32.5299,202.3327,23.5979,167.609,11.598,0.2576,1.0965,0.7556,0.4928,10
4,2.4989,7.0621,5.7312,16.2815,183.1345,34.3251,199.3327,32.9665,201.5392,9.762,0.9741,0.0578,0.0578,0.0578,20
5,0.6912,0.6912,4.4514,11.8038,165.8838,28.3399,198.1621,22.1884,181.0078,6.9747,0.8691,1.2029,0.9801,1.4553,-40
6,1.6,4.0615,5.9615,15.6357,188.5837,38.3636,217.1782,27.3007,208.265,14.1904,0.6216,0.571,0.571,0.571,20
7,1.3781,1.3781,4.8046,8.7717,177.9431,31.804,245.6434,23.4527,219.1045,11.3417,0.4601,1.3226,1.3781,1.3781,10
8,0.6722,1.7618,9.1714,14.7557,148.777,35.2432,202.4167,33.7145,178.0277,13.8204,0.0108,0.0108,0.0108,-0.0,40
9,1.9075,1.016,3.746,13.8016,206.32,33.0149,222.6609,33.0124,168.9419,8.1644,0.2746,0.2746,0.2746,0.2746,20
10,0.3465,0.6791,6.8335,11.1892,184.8203,38.0835,196.573,28.8326,169.2987,13.2566,0.5447,0.8602,0.5568,0.2223,40
11,1.1501,3.6077,6.8885,14.4588,182.068,34.9147,227.4587,28.4894,203.9456,10.5817,0.2734,0.0,0.0,0.0,20
12,2.2408,1.8907,5.766,11.0641,156.1172,30.2587,219.5531,31.7907,201.4096,8.2347,0.6071,0.1742,0.1742,0.1742,20
13,1.7932,1.9691,5.2815,11.5211,164.1254,32.438,212.2981,23.7145,184.1742,3.5666,0.5979,0.4108,0.4108,0.4108,20
14,2.0215,4.404,4.9581,14.62,156.5004,24.0879,211.9136,21.5297,195.8733,7.4744,0.4574,0.7565,1.8579,0.6325,10
15,0.0971,3.7785,5.9383,13.6917,189.9688,35.1903,221.3987,27.3354,177.031,15.6827,0.0971,0.0971,0.0971,0.0971,20
16,2.7918,1.6756,5.1269,10.689,156.4351,34.1942,185.0721,20.1027,169.42,13.5848,0.0215,0.1629,0.7271,0.5696,10
17,2.6209,2.9588,7.5336,7.787,190.1563,22.5998,201.1087,18.5685,173.5127,7.028,0.0819,0.0512,0.0512,0.0512,20
18,2.5218,3.3463,6.6219,12.955,204.0965,31.5872,230.5299,17.3665,197.29,6.5723,1.044,1.044,1.044,1.044,20
