instance,-40,-30,-20,-10,-5,-2,-1,1,2,5,10,20,30,40,lkh_cost,best_k
0,1.699306,1.734419,1.837962,2.055539,6.337908,2.694924,6.429008,2.432959,6.300842,1.922834,1.632335,1.582563,1.572388,1.573196,1.548243,30
1,1.748213,1.811124,1.984418,2.23249,6.787516,3.012497,6.78987,2.498814,6.814189,2.071671,1.71847,1.699848,1.69757,1.691051,1.659734,40
2,1.624025,1.667219,1.784583,2.088131,6.373217,2.71077,6.416717,2.386887,6.385317,1.876198,1.568702,1.540731,1.5345,1.534528,1.510099,30
3,1.653181,1.736097,1.854709,2.242855,6.524524,2.964394,6.54683,2.482901,6.421072,1.977098,1.6053,1.566646,1.563668,1.562073,1.532851,40
4,1.729042,1.781107,1.88794,2.184205,6.574142,2.863832,6.656862,2.542693,6.609705,1.981536,1.638896,1.62074,1.613234,1.613183,1.585393,40
5,1.610818,1.679811,1.771396,2.049414,6.44421,2.719474,6.440962,2.39549,6.435743,1.959806,1.572596,1.543668,1.540563,1.54061,1.522771,30
6,1.655879,1.747197,1.817661,2.159166,6.616848,2.831797,6.607601,2.464505,6.566176,2.007454,1.629261,1.571474,1.574969,1.578409,1.548705,20
7,1.76956,1.813633,1.975771,2.211176,6.68918,3.03345,6.688584,2.514785,6.61138,2.073601,1.687548,1.64905,1.661176,1.654119,1.611483,20
8,1.759197,1.841131,1.92356,2.240743,6.658993,2.788602,6.643931,2.532286,6.623968,2.08975,1.696989,1.666766,1.658394,1.657815,1.641757,40
9,1.602318,1.616376,1.714407,2.105171,6.37956,2.700746,6.411428,2.526526,6.403949,2.006783,1.551965,1.529579,1.531707,1.532663,1.503533,20
10,1.64245,1.709245,1.847257,2.119673,6.504304,2.768189,6.555953,2.421395,6.507024,1.911404,1.606836,1.57583,1.572024,1.566217,1.546408,40
11,1.740701,1.755444,1.929422,2.267522,7.01179,2.962909,7.030205,2.650813,6.980674,2.074559,1.692332,1.668716,1.672193,1.666256,1.639057,40
12,1.766614,1.839407,2.006626,2.273294,6.821793,3.00542,6.816266,2.621502,6.792715,2.049854,1.710793,1.688922,1.692399,1.688649,1.656535,40
