,count,mean,std,min,25%,50%,75%,max,best_k_count,best_k_pct
-40,1000.0,7.2244,1.4391,3.0238,6.2004,7.1534,8.2623,12.2238,0,0.0
-30,1000.0,11.4253,1.956,5.6476,10.0719,11.3558,12.591,19.3494,0,0.0
-20,1000.0,19.7572,2.8103,11.6625,17.7152,19.6529,21.549,31.6464,0,0.0
-10,1000.0,37.3762,3.9417,25.5018,34.6702,37.2939,39.9005,50.2147,0,0.0
-5,1000.0,317.1754,10.8001,284.3926,309.9369,317.135,324.3711,352.9578,0,0.0
-2,1000.0,80.3193,6.6198,62.8992,75.4541,80.2613,84.5668,107.9547,0,0.0
-1,1000.0,319.7231,10.8202,285.7087,312.8762,319.5397,326.6274,354.2844,0,0.0
1,1000.0,58.3836,4.4503,44.1474,55.5074,58.237,61.1839,73.5389,0,0.0
2,1000.0,316.2694,10.5241,284.3443,308.8735,316.1534,323.2054,349.6328,0,0.0
5,1000.0,26.4523,2.9272,18.6423,24.512,26.3426,28.4052,36.1566,0,0.0
10,1000.0,3.9918,1.0259,1.5521,3.2448,3.9314,4.6277,9.517,0,0.0
20,1000.0,1.9304,0.5972,0.4489,1.5072,1.895,2.3144,4.4271,170,17.0
30,1000.0,1.7471,0.5875,0.3384,1.3164,1.688,2.1062,4.1631,318,31.8
40,1000.0,1.6494,0.5608,0.1812,1.2381,1.6129,2.0178,3.7242,512,51.2
