instance,-40,-30,-20,-10,-5,-2,-1,1,2,5,10,20,30,40,lkh_cost,best_k
0,1.650392,1.691043,1.700998,1.970921,5.460968,2.330883,5.669674,2.267573,5.513144,1.883484,1.638403,1.618528,1.612648,1.612648,1.716446,30
1,1.600526,1.620449,1.655922,1.826395,5.023818,2.126863,5.211545,2.050153,5.137014,1.790004,1.555357,1.539054,1.537213,1.537213,1.588282,30
2,1.640511,1.670958,1.783305,1.92036,5.246072,2.492303,5.804364,2.406719,5.751654,1.962676,1.635837,1.627117,1.623116,1.628033,1.740016,30
3,1.578983,1.697156,1.816734,1.964612,5.435554,2.417185,5.582197,2.218202,5.259368,1.872418,1.544921,1.544921,1.544921,1.544921,1.602808,20
4,1.646204,1.683493,1.723891,1.872736,5.556451,2.293482,5.690984,2.090232,5.445037,1.864571,1.62344,1.623046,1.620488,1.618512,1.514777,40
5,1.544259,1.580499,1.672495,1.833544,5.207229,2.320329,5.262244,2.053383,5.110331,1.709596,1.518831,1.518831,1.518831,1.518831,1.540912,20
6,1.672181,1.709698,1.753944,1.934836,5.825484,2.211152,5.865204,2.203852,5.646613,1.909768,1.617155,1.597562,1.597562,1.597562,1.597726,20
7,1.639544,1.700068,1.820995,1.921932,5.558444,2.304545,5.665066,2.107844,5.384069,1.843707,1.61929,1.6109,1.60213,1.60213,1.290063,30
8,1.737115,1.781226,1.878114,2.251944,5.382745,2.715508,6.30529,2.446163,5.919918,1.948738,1.704965,1.695935,1.682853,1.687436,1.594377,30
9,1.622493,1.632592,1.696644,1.878751,5.572696,2.399763,5.881384,2.09601,5.585088,1.801446,1.589216,1.586366,1.586366,1.586366,1.583613,20
10,1.65539,1.680889,1.808496,2.074721,5.420833,2.528222,5.764732,2.199705,5.581618,1.902877,1.622099,1.610815,1.597606,1.598789,1.610598,30
11,1.744236,1.756237,1.891026,2.017851,5.486353,2.456589,5.871565,2.253656,5.573465,1.884197,1.719823,1.710823,1.713894,1.704471,1.303332,40
12,1.484585,1.539254,1.588558,1.747086,5.120514,2.176861,5.296746,1.993948,5.150646,1.606585,1.473065,1.461765,1.448182,1.448182,1.492725,30
13,1.643262,1.722583,1.883167,2.026025,5.29156,2.507047,5.641284,2.086044,5.505517,1.835545,1.604382,1.597913,1.592793,1.592793,1.606047,30
14,1.529685,1.564039,1.684426,1.807646,5.396581,2.476401,5.610322,2.07684,5.352934,1.713603,1.508898,1.508353,1.508353,1.508353,1.199281,40
15,1.642976,1.714388,1.728,1.898128,5.72125,2.66903,5.898366,2.232055,5.463806,1.870124,1.577515,1.573524,1.557389,1.570481,1.573446,30
16,1.584519,1.6038,1.690656,1.807509,5.167094,2.301322,5.522645,2.074729,5.286131,1.777415,1.527714,1.523316,1.506993,1.506993,1.659711,40
17,1.62091,1.690562,1.795252,1.888247,5.195668,2.254444,5.287304,2.016182,5.106515,1.794017,1.606185,1.606035,1.606035,1.606035,1.616187,20
18,1.549378,1.583616,1.664875,1.829961,5.315703,2.215205,5.410226,2.103527,5.252979,1.754687,1.512013,1.505519,1.511932,1.510509,1.425818,20
19,1.645227,1.669321,1.813008,1.903509,5.40947,2.340586,5.54474,2.254848,5.335806,1.811302,1.620924,1.613407,1.609745,1.609745,1.631681,30
20,1.522214,1.583036,1.597322,1.679862,5.214626,2.013585,5.327029,2.071076,5.28418,1.71242,1.51163,1.491902,1.489487,1.496289,1.589277,30
21,1.52377,1.554493,1.671959,1.759281,4.909593,2.382128,5.09266,2.08675,4.824124,1.733818,1.504956,1.4868,1.4868,1.485401,1.487003,40
22,1.61904,1.660012,1.70333,1.880088,5.274238,2.317921,5.373322,2.079531,5.281214,1.811039,1.572019,1.569322,1.569322,1.569322,1.839002,30
23,1.683048,1.739954,1.846101,2.007676,5.598684,2.384028,5.725736,2.187172,5.320261,1.944993,1.679739,1.665181,1.665181,1.665181,1.541306,40
24,1.62855,1.649634,1.690878,1.947103,5.319854,2.268686,5.34264,2.063256,5.197808,1.787902,1.550282,1.556603,1.553559,1.547932,1.494457,40
25,1.702222,1.736371,1.838789,2.058576,5.524015,2.489026,5.913916,2.515347,5.60633,1.869312,1.645738,1.652855,1.653286,1.652069,1.46785,10
26,1.654635,1.658092,1.748549,1.971511,5.423073,2.541054,5.791295,2.241313,5.654388,1.829848,1.6519,1.610538,1.590197,1.592985,1.524776,30
27,1.642049,1.724772,1.830393,1.960255,5.64569,2.422788,5.70092,2.235633,5.677408,1.776342,1.626593,1.614738,1.614738,1.614738,1.589871,20
28,1.811696,1.845789,1.941317,2.107968,5.881826,2.618678,5.992974,2.408294,5.747096,2.058189,1.771264,1.764848,1.764418,1.760103,1.448748,40
29,1.74187,1.83984,1.888231,2.042483,5.54308,2.576033,5.711508,2.245175,5.518627,1.893834,1.714958,1.699845,1.699845,1.694565,1.655441,40
30,1.608938,1.616341,1.679614,1.828641,5.34282,2.22079,5.823051,2.167849,5.574352,1.715955,1.562249,1.551958,1.551883,1.551486,1.64834,40
31,1.589603,1.602765,1.658962,1.793163,5.319272,2.129064,5.361139,2.148387,5.139692,1.735392,1.558142,1.558142,1.558142,1.558142,1.468076,20
32,1.631218,1.66467,1.727074,1.914755,5.220784,2.288998,5.440738,2.164248,5.267794,1.813516,1.573059,1.56554,1.56554,1.56554,1.406913,30
33,1.65402,1.682263,1.732202,1.892867,5.497863,2.434803,5.573724,2.210233,5.540514,1.869438,1.612479,1.618547,1.61799,1.615958,1.633133,10
34,1.596924,1.660006,1.735384,1.942802,5.133951,2.402762,5.593299,2.140072,5.407154,1.886849,1.577839,1.577272,1.577272,1.57632,1.538275,40
35,1.481321,1.522536,1.584848,1.782381,4.940779,2.087133,5.440817,1.894235,5.447856,1.56183,1.472147,1.461632,1.458808,1.461106,1.466283,30
36,1.523768,1.547906,1.632601,1.754441,4.988549,2.203348,5.100872,2.024724,4.971799,1.62182,1.487603,1.468706,1.469375,1.469375,1.450387,20
37,1.601063,1.647481,1.699395,1.810467,5.301609,2.268179,5.417856,2.062398,5.27983,1.796287,1.564241,1.546808,1.540385,1.541077,1.699609,30
38,1.727358,1.74147,1.857455,2.12347,5.67821,2.583495,5.87384,2.429427,5.527374,1.965971,1.682003,1.678665,1.679975,1.678642,1.669138,40
39,1.711568,1.801553,1.799855,1.973977,5.569255,2.436563,5.64117,2.25561,5.464501,1.916711,1.65734,1.647934,1.647158,1.647158,1.448369,30
40,1.635735,1.672885,1.773722,1.981711,5.3168,2.291419,5.519758,2.098334,5.374172,1.816881,1.631708,1.625562,1.611253,1.611253,1.559309,30
41,1.592687,1.605079,1.709513,1.925516,5.468418,2.386557,5.711704,2.082807,5.472795,1.793044,1.58226,1.573117,1.573024,1.573024,1.667575,30
42,1.706486,1.703542,1.782823,1.933587,5.286248,2.351789,5.750584,2.13041,5.630528,1.82569,1.633795,1.633292,1.628999,1.628502,1.67424,40
43,1.513621,1.549533,1.617024,1.814998,5.113513,2.119653,5.432985,2.159639,5.203273,1.739935,1.503561,1.488604,1.488604,1.488604,1.289835,40
44,1.600974,1.636803,1.705479,1.850366,5.21757,2.350938,5.223295,2.184694,5.297359,1.792827,1.599516,1.589641,1.589641,1.589641,1.604553,20
45,1.492041,1.549175,1.575261,1.65845,4.947172,2.145934,5.201421,1.981546,5.066717,1.653065,1.46767,1.46341,1.46341,1.462182,1.438523,40
46,1.603,1.615745,1.695953,1.893778,5.339514,2.358372,5.374089,2.103271,5.21796,1.775675,1.561965,1.553551,1.553627,1.548789,1.48142,40
47,1.700088,1.743104,1.877443,2.105133,5.635346,2.487855,5.671101,2.233759,5.454516,1.90359,1.661468,1.661344,1.664417,1.663504,1.479081,20
48,1.7643,1.786269,1.915237,2.01204,5.38966,2.533854,6.087579,2.415592,5.772565,2.000037,1.723371,1.699545,1.704513,1.706962,1.559953,20
49,1.397305,1.459636,1.51078,1.707642,4.902882,2.246317,5.16269,1.861037,4.977628,1.564204,1.386206,1.386971,1.386971,1.386971,1.614693,10
50,1.678218,1.725865,1.86294,1.95904,5.838029,2.574009,6.042738,2.310124,5.798758,1.917898,1.666284,1.656032,1.665826,1.660056,1.475457,20
51,1.654079,1.687881,1.770981,2.018116,5.371526,2.484205,5.554012,2.237683,5.450966,1.911329,1.64538,1.641968,1.642437,1.637125,1.455286,40
52,1.681974,1.731627,1.758945,1.947278,5.423424,2.448448,5.537236,2.215562,5.47779,1.865599,1.65088,1.640296,1.639591,1.639591,1.640097,30
53,1.609862,1.627252,1.67826,1.860046,5.271612,2.467084,5.428186,2.124953,5.355527,1.755816,1.57164,1.553227,1.54873,1.550982,1.534369,30
