instance,-40,-30,-20,-10,-5,-2,-1,1,2,5,10,20,30,40,best_k
0,-3.8483,-1.48,-0.9,14.8257,218.1555,35.797,230.3147,32.1086,221.1953,9.7316,-4.5468,-5.7047,-6.0473,-6.0473,30
1,0.7709,2.0253,4.2587,14.9919,216.3052,33.9097,228.1247,29.0799,223.4321,12.7006,-2.073,-3.0994,-3.2154,-3.2154,30
2,-5.7186,-3.9688,2.4879,10.3645,201.4956,43.2345,233.5811,38.3159,230.5518,12.7964,-5.9872,-6.4884,-6.7183,-6.4357,30
3,-1.4865,5.8864,13.3469,22.5731,239.127,50.8094,248.2761,38.3947,228.1346,16.8211,-3.6116,-3.6116,-3.6116,-3.6116,20
4,8.6763,11.138,13.8049,23.6311,266.8164,51.4072,275.6978,37.9894,259.4613,23.0921,7.1735,7.1475,6.9787,6.8482,40
5,0.2172,2.5691,8.5393,18.9908,237.9316,50.5815,241.5019,33.2576,231.6433,10.947,-1.433,-1.433,-1.433,-1.433,20
6,4.6601,7.0082,9.7775,21.0994,264.611,38.3937,267.097,37.9368,253.4156,19.5304,1.216,-0.0103,-0.0103,-0.0103,20
7,27.0902,31.7818,41.1555,48.9797,330.8661,78.6382,339.131,63.3908,317.3493,42.916,25.5202,24.8699,24.1901,24.1901,30
8,8.9526,11.7192,17.7961,41.2429,237.608,70.3178,295.4704,53.4244,271.2998,22.2257,6.9361,6.3698,5.5492,5.8367,30
9,2.4551,3.0929,7.1375,18.637,251.8976,51.5372,271.3902,32.3562,252.6801,13.7554,0.3538,0.1738,0.1738,0.1738,20
10,2.7811,4.3643,12.2872,28.8168,236.5727,56.9741,257.9249,36.5769,246.5556,18.1472,0.7141,0.0135,-0.8067,-0.7332,30
11,33.829,34.7498,45.0917,54.8225,320.9482,88.4853,350.5042,72.915,327.632,44.5677,31.9559,31.2653,31.5009,30.778,40
12,-0.5453,3.1171,6.42,17.04,243.0313,45.8314,254.8373,33.5777,245.0499,7.6277,-1.3171,-2.0741,-2.984,-2.984,30
13,2.3172,7.2561,17.2548,26.1498,229.4773,56.1005,251.2527,29.8868,242.7992,14.2896,-0.1037,-0.5065,-0.8253,-0.8253,30
14,27.5502,30.4147,40.453,50.7275,349.9847,106.4905,367.8071,73.1738,346.3453,42.8859,25.8169,25.7714,25.7714,25.7714,40
15,4.419,8.9575,9.8226,20.6351,263.6128,69.6296,274.8693,41.8577,247.2509,18.8553,0.2586,0.005,-1.0205,-0.1885,30
16,-4.5304,-3.3687,1.8645,8.905,211.3249,38.658,232.7474,25.0054,218.4971,7.0918,-7.953,-8.218,-9.2015,-9.2015,40
17,0.2922,4.6019,11.0795,16.8335,221.4769,39.4915,227.1468,24.7493,215.9607,11.0031,-0.6189,-0.6281,-0.6281,-0.6281,20
18,8.6659,11.0672,16.7663,28.3446,272.8178,55.3638,279.4472,47.5313,268.4186,23.0653,6.0453,5.5898,6.0396,5.9398,20
19,0.8302,2.3068,11.1129,16.6594,231.5274,43.4463,239.8177,38.1917,227.0128,11.0083,-0.6593,-1.1199,-1.3444,-1.3444,30
20,-4.2197,-0.3927,0.5062,5.6998,228.1131,26.6982,235.1857,30.3156,232.4896,7.7484,-4.8857,-6.127,-6.279,-5.851,30
21,2.4725,4.5387,12.4382,18.3105,230.167,60.1966,242.4781,40.3326,224.4192,16.5981,1.2073,-0.0137,-0.0137,-0.1077,40
22,-11.9609,-9.733,-7.3775,2.2341,186.7989,26.0423,192.1868,13.0793,187.1783,-1.5206,-14.5178,-14.6645,-14.6645,-14.6645,30
23,9.1962,12.8883,19.7751,30.2581,263.2428,54.6758,271.486,41.9038,245.1788,26.1912,8.9815,8.037,8.037,8.037,40
24,8.9727,10.3835,13.1433,30.2883,255.9724,51.8067,257.4971,38.0606,247.8057,19.6356,3.7355,4.1584,3.9548,3.5782,40
25,15.967,18.2935,25.2709,40.2443,276.3338,69.5695,302.8965,71.3627,281.9416,27.3503,12.1189,12.6038,12.6332,12.5503,10
26,8.5166,8.7433,14.6758,29.2984,255.6636,66.651,279.8128,46.9929,270.834,20.0077,8.3372,5.6246,4.2905,4.4734,30
27,3.2819,8.485,15.1284,23.2965,255.1036,52.389,258.5775,40.6172,257.0986,11.7287,2.3097,1.5641,1.5641,1.5641,20
